race_key,horse_number,horse_name,win_odds,popularity,place_odds_min,place_odds_max,place_basis_odds_proxy
06263811,1,カヴァレリッツォ,8.3,4,5.2,7.4,6.3
06263811,2,サウンドムーブ,162.2,18,12.9,18.8,15.85
06263811,3,サノノグレーター,50.2,13,7.3,10.5,8.9
06263811,4,ロブチェン,3.5,1,1.7,2.1,1.9
06263811,5,アスクエジンバラ,25.8,10,3.5,4.9,4.2
06263811,6,フォルテアンジェロ,40.8,12,4.9,7.0,5.95
06263811,7,ロードフィレール,72.3,15,11.6,16.8,14.2
06263811,8,マテンロウゲイル,16.3,6,3.0,4.2,3.6
06263811,9,ライヒスアドラー,30.9,11,3.5,5.0,4.25
06263811,10,ラージアンサンブル,158.2,17,23.5,34.0,28.75
06263811,11,パントルナイーフ,20.7,8,4.0,5.7,4.85
06263811,12,グリーンエナジー,4.4,2,1.6,2.0,1.8
06263811,13,アクロフェイズ,82.2,16,10.7,15.6,13.15
06263811,14,ゾロアストロ,22.7,9,2.6,3.6,3.1
06263811,15,リアライズシリウス,5.7,3,2.9,4.1,3.5
06263811,16,アルトラムス,65.6,14,13.0,18.9,15.95
06263811,17,アドマイヤクワッズ,19.0,7,4.3,6.1,5.2
06263811,18,バステール,13.1,5,4.0,5.7,4.85
